Size,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,
Time,0.057985,0.010115,0.005003,0.007435,0.009178,0.060738,0.088053,0.088586,0.089184,0.089743,0.094999,0.193250,0.361208,0.717778,1.434127,2.858671,5.737446,13.893919,30.176503,52.823789,98.065659,211.389815,
